Square ID,X position ,Y position ,Image to show,Sound to play ,Text to show,Roll again ,Change square by ,Go to square ID ,skip a turn,Roll (or spin or etc.) again to determine an action,Conditions to do this row
,,,,,,,"negative, to go back",,,Use rows below,
29,11,9,,,,,,,,,
0,0,8,,,,,,,,,
1,1,8,,,,,,,,,
2,2,8,,success.wav,,,,10,,,
3,3,8,,,,,,,,,
4,4,8,,,,,,,,,
5,5,8,,success.wav,,,,10,,,
6,6,8,,,,,,,,,
7,7,8,,,,,,,,1,
,,,,,,,,0,,,6
,,,,,,,,1,,,5
,,,,,,,3,,,,4
8,8,8,,,,,,,,1,
,,,,,,,,0,,,6
,,,,,,1,,,,,5
,,,,,,,2,,,,4
,,,,,,,,3,,,3
,,,,,,,,,1,,2
,,,,,,,-2,,,,1
9,9,8,,failed.wav,,,,0,,,
10,10,8,,drop2.wav,,,,,,,
11,10,7,,,,,,,,,
12,10,6,,,,,,,,,
13,10,5,,,,1,,,,,
14,10,4,,,,,,,,,
15,10,3,,,,1,,,,,
16,10,2,,,,,,,1,,
17,10,1,,,,,,,,,
18,10,0,,,,,,,,,
19,9,0,,,,1,,,,,
20,8,0,,,,,,,,,
21,7,0,,,,1,,,,,
22,6,0,,,,,,,,,
23,5,0,,,,,,,,1,
,,,,,,,,0,,,6
24,4,0,,,,,,,,,
25,3,0,,,,,,,,1,
,,,,,,,,0,,,6
26,2,0,,failed.wav,,,,0,,,
27,1,0,,failed.wav,,,,0,,,
28,0,0,,,,,,,,,
